id,medal_color,year,discipline
1326877535,gold,2024,Team competition
1331114872,gold,2004,Lightweight coxless four
1331114872,gold,2008,Lightweight coxless four
1331114872,bronze,2000,Lightweight coxless four
1326513168,gold,2000,Soling class
1331114857,gold,1996,Lightweight coxless four
1302489819,bronze,1992,Men's singles
1304707447,gold,2004,Lightweight coxless four
1275640569,silver,1920,Team competition
1321405899,silver,1924,Light heavyweight
1331383733,gold,1996,Team competition
1331383733,gold,2000,Team competition
1328191282,silver,1960,Team competition
1331384400,gold,1996,Team competition
1331384400,gold,2000,Team competition
1304707456,silver,2000,50 m rifle prone
1327307042,silver,1912,"Team, swedish system"
1327306466,bronze,1956,K-1 500 m
1275804431,bronze,1996,Single sculls
1331384761,gold,2004,Team competition
1253354157,silver,1998,Team competition
1332302269,bronze,2024,Team competition
1327618620,bronze,2024,87 kg
1328011953,gold,1996,Team competition
1326512573,gold,1976,Soling class
1326512573,gold,1980,Soling class
1306016392,silver,1912,"Team, swedish system"
1276174200,bronze,1976,Team time trial
1331114798,gold,1996,Lightweight coxless four
1331114798,bronze,2000,Lightweight coxless four
1281148086,bronze,1952,Welterweight
1327307836,gold,1920,"Team, free system"
1286848714,bronze,1948,Team competition
1327305856,gold,1896,Two hand lift
1327305856,silver,1896,One hand lift
1327305856,bronze,1896,Free rifle
1306017701,bronze,1912,"Team, free system"
1332066095,gold,2020,Men's singles
1332066095,gold,2024,Men's singles
1332066095,bronze,2016,Men's singles
1327307619,silver,1906,Team competition
1306017440,gold,1920,"Team, free system"
1279451263,silver,1924,6 metre class
1279451263,silver,1928,6 metre class
1305247140,silver,1908,Team competition
1305247140,silver,1912,Team competition
1306016767,bronze,1912,"Team, free system"
1260907338,bronze,1948,Dragon class
1260907338,silver,1960,5.5 metre
1269855382,bronze,1932,Tandem
1282316893,gold,1928,1000 m time trial
1282316893,silver,1924,Tandem
1282316893,bronze,1928,Olympic sprint
1331114267,silver,2000,800 m
1331114267,bronze,2004,800 m
